target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value,perm_rep
Earth,earth,rv2_coarse,5,2.2,775,4082,2095084.7962096774,2846946.760335007,751861.9641253299,2.487866789280174,0.0128511858897149,7
Earth,earth,rv2_coarse,6,3.93,795,3853,1568120.6932389936,1612677.9140766936,44557.22083769995,0.262117417069939,0.7932309192253726,7
Earth,earth,rv2_coarse,7,4.7,702,4030,358166.1309650997,2610197.8594105,2252031.7284454005,1.5242884069799068,0.1274366818555861,7
Earth,earth,rv2_coarse,8,6.55,739,3797,1735082.3109776725,187999972.8034828,186264890.49250513,1.0284535352611828,0.30373653688361335,7
Earth,earth,rv2_coarse,9,9.18,819,4291,410933254.64656305,318592651.6047423,-92340603.04182076,-0.25446624312368893,0.799135380003005,7
Fornax-A,fixed,rv2_coarse,1,0.45,1255,3839,1647574078.2001991,2024147025.93343,376572947.7332308,0.423164934258993,0.6721749288615539,8
Fornax-A,fixed,rv2_coarse,2,0.7,1126,3587,49092914.92007105,382483161.2386518,333390246.31858075,1.1100035266208643,0.2669975068099715,8
Fornax-A,fixed,rv2_coarse,3,0.9,1109,3618,33772614.69803877,3270801.186498065,-30501813.511540707,-0.9671981008608321,0.33344501140478733,8
Fornax-A,fixed,rv2_coarse,4,1.31,1172,3499,1830847.6272397612,2184748.917297799,353901.29005803796,1.2935243249292334,0.1958297765740007,8
Fornax-A,fixed,rv2_coarse,5,2.2,1142,3715,2295086.327331436,2859741.2670087484,564654.9396773125,1.652001707377373,0.0985342027897862,8
Fornax-A,fixed,rv2_coarse,6,3.93,1127,3521,1770177.632874889,1552204.9877343085,-217972.6451405806,-1.1420915037576715,0.25341598667311693,8
Fornax-A,fixed,rv2_coarse,7,4.7,1191,3541,372967.1624685139,2916217.482875407,2543250.3204068933,1.512553193359436,0.13039319123468496,8
Fornax-A,fixed,rv2_coarse,8,6.55,1093,3443,1478510.5609131977,207232678.04808557,205754167.48717237,1.0301622601683336,0.3029338425520045,8
Fornax-A,fixed,rv2_coarse,9,9.18,1224,3886,276023165.4418594,351462441.8658385,75439276.4239791,0.2763161041924356,0.7823052878822618,8
Cygnus-A,fixed,rv2_coarse,1,0.45,23,5071,28510441.29347826,1940002003.6580434,1911491562.3645651,4.138667994945008,3.493280347788286e-05,8
Cygnus-A,fixed,rv2_coarse,2,0.7,14,4699,2510962.3571428573,303726445.6458914,301215483.28874856,1.320999297552855,0.18650159843853542,8
Cygnus-A,fixed,rv2_coarse,3,0.9,22,4705,8355008.8977272725,10436509.71246015,2081500.8147328766,0.24773142859241618,0.8043422131795654,8
Cygnus-A,fixed,rv2_coarse,4,1.31,21,4650,2641296.380952381,2093488.7433870968,-547807.6375652843,-0.6865773629968139,0.4923490975299205,8
Cygnus-A,fixed,rv2_coarse,5,2.2,20,4837,2489290.24375,2727959.8072927436,238669.56354274368,0.26435490358650754,0.7915064574971227,8
Cygnus-A,fixed,rv2_coarse,6,3.93,21,4627,544846.8541666666,1609868.6341311864,1065021.7799645197,10.393793641535067,0.0,8
Cygnus-A,fixed,rv2_coarse,7,4.7,22,4710,536406.2471590909,2284231.222913868,1747824.975754777,1.3691578538488631,0.17094993715077034,8
Cygnus-A,fixed,rv2_coarse,8,6.55,26,4510,814129.7647235577,158558083.19041106,157743953.4256875,1.0345077981831718,0.3008988330915012,8
Cygnus-A,fixed,rv2_coarse,9,9.18,28,5082,3165209.6316964286,335211880.7008652,332046671.0691688,2.526617383678809,0.011516689480754794,8
Sag-A,fixed,rv2_coarse,1,0.45,793,4301,1761943836.5130043,1962609727.585416,200665891.07241178,0.12951891517179628,0.8969470588670825,8
Sag-A,fixed,rv2_coarse,2,0.7,710,4003,11750733.5028169,354459830.32127005,342709096.81845313,1.2803527400542272,0.20042110704933158,8
Sag-A,fixed,rv2_coarse,3,0.9,670,4057,5810300.793470149,11189225.255422726,5378924.461952577,0.5738855761239979,0.5660452342894811,8
Sag-A,fixed,rv2_coarse,4,1.31,691,3980,2209224.2814761214,2076285.402575377,-132938.8789007445,-0.5385195007855282,0.590218445858945,8
Sag-A,fixed,rv2_coarse,5,2.2,777,4080,2165596.5150418277,2833886.9854319855,668290.4703901578,2.252844544431256,0.024268952465220872,8
Sag-A,fixed,rv2_coarse,6,3.93,665,3983,1308050.6717105263,1654644.804763997,346594.13305347064,1.6307033184928932,0.10295293603897271,8
Sag-A,fixed,rv2_coarse,7,4.7,677,4055,2268141.637093796,2277434.7987791165,9293.161685320549,0.003993680459251671,0.9968135124912569,8
Sag-A,fixed,rv2_coarse,8,6.55,680,3856,2436571.1623506434,185026258.862095,182589687.69974434,1.023820504371842,0.30592006370307967,8
Sag-A,fixed,rv2_coarse,9,9.18,801,4309,617558883.6356361,280568748.619016,-336990135.0166201,-0.6722725384488292,0.5014102089563797,8
Mercury,planet,rv2_coarse,1,0.45,772,4322,900101215.3131477,2115577918.2040577,1215476702.8909101,1.5812900789993836,0.11381172697839825,8
Mercury,planet,rv2_coarse,2,0.7,755,3958,14468393.972185431,357837818.11875796,343369424.14657253,1.268359715081203,0.2046695209695244,8
Mercury,planet,rv2_coarse,3,0.9,727,4000,3312688.7483665748,11719815.918203125,8407127.169836551,0.95063553471515,0.34178942340369334,8
Mercury,planet,rv2_coarse,4,1.31,727,3944,1730269.5892365887,2163357.98412145,433088.39488486154,1.864754455944117,0.06221582984404783,8
Mercury,planet,rv2_coarse,5,2.2,768,4089,3104421.7967122397,2656084.97257887,-448336.8241333696,-0.5349935643787652,0.5926543074722561,8
Mercury,planet,rv2_coarse,6,3.93,681,3967,1404531.2101688692,1639480.2621470885,234949.0519782193,1.3007918881482345,0.19332969933947908,8
Mercury,planet,rv2_coarse,7,4.7,709,4023,367448.4052362482,2612480.5065993825,2245032.101363134,1.5168957240625338,0.1292930133710235,8
Mercury,planet,rv2_coarse,8,6.55,696,3840,2347060.215337644,185803273.0866567,183456212.87131906,1.0244132723483708,0.3056401156673183,8
Mercury,planet,rv2_coarse,9,9.18,795,4315,313527453.4186419,337052393.53966725,23524940.121025324,0.06859659853550469,0.9453107264664053,8
Venus,planet,rv2_coarse,1,0.45,1016,4078,2769845080.7432947,1722472608.7946298,-1047372471.9486649,-0.6796042418169626,0.4967550830900882,8
Venus,planet,rv2_coarse,2,0.7,942,3771,13841113.144373674,375021849.10661465,361180735.962241,1.2711639805411674,0.20367031774245348,8
Venus,planet,rv2_coarse,3,0.9,989,3738,1738626.8963599596,12725544.781266721,10986917.884906761,1.1709118301493178,0.24163421940993768,8
Venus,planet,rv2_coarse,4,1.31,997,3674,2613087.604563691,1955618.2740881874,-657469.3304755038,-0.739151953981028,0.45981473191240463,8
Venus,planet,rv2_coarse,5,2.2,1023,3834,3224583.2782258065,2594204.1468766304,-630379.1313491762,-0.6695873403366593,0.5031208864726824,8
Venus,planet,rv2_coarse,6,3.93,1006,3642,1786836.3582877733,1554845.2986339922,-231991.05965378112,-0.8799144783956401,0.3789056407396285,8
Venus,planet,rv2_coarse,7,4.7,990,3742,2755102.839506885,2149379.5259887762,-605723.3135181088,-0.21841198998006456,0.8271081243880265,8
Venus,planet,rv2_coarse,8,6.55,957,3579,10764164.50619612,196931214.62146047,186167050.11526436,0.9681093910150609,0.332989740286215,8
Venus,planet,rv2_coarse,9,9.18,1046,4064,566679440.6689696,273348599.56981844,-293330841.0991512,-0.7289325254137157,0.46604293776203143,8
Mars,planet,rv2_coarse,1,0.45,954,4140,1224809719.1696148,2094187784.6888587,869378065.519244,1.0702316321340146,0.28451505940606836,8
Mars,planet,rv2_coarse,2,0.7,863,3850,12201553.467026588,367978124.9145455,355776571.4475189,1.2783852698620357,0.2011136152324169,8
Mars,planet,rv2_coarse,3,0.9,845,3882,2162492.436908284,12225729.5939432,10063237.157034915,1.1137343714855608,0.2653931591722194,8
Mars,planet,rv2_coarse,4,1.31,790,3881,2105995.2400316456,2093907.147932234,-12088.092099411646,-0.04871460577345039,0.9611467359716557,8
Mars,planet,rv2_coarse,5,2.2,873,3984,2223501.817726231,2837301.7836031625,613799.9658769313,2.0315619043982496,0.042198026627424445,8
Mars,planet,rv2_coarse,6,3.93,821,3827,1480650.9611753959,1631745.3658054613,151094.40463006543,0.7078606446619297,0.47903180148679625,8
Mars,planet,rv2_coarse,7,4.7,835,3897,8304661.729640719,984382.2050582028,-7320279.5245825155,-1.1118336880279853,0.2662096644283394,8
Mars,planet,rv2_coarse,8,6.55,817,3719,843765973.7692348,6926948.640272083,-836839025.1289626,-0.9948405688549853,0.3198138116141309,8
Mars,planet,rv2_coarse,9,9.18,904,4206,547797321.6361527,287310181.84317696,-260487139.79297578,-0.5802703411976686,0.5617323248316137,8
Jupiter,planet,rv2_coarse,1,0.45,480,4614,295630818.1424479,2101539468.5720227,1805908650.4295747,3.5024028432002074,0.0004610819083812334,8
Jupiter,planet,rv2_coarse,2,0.7,473,4240,8698561.59628741,335644174.9830189,326945613.38673145,1.2937901999082013,0.1957378986955196,8
Jupiter,planet,rv2_coarse,3,0.9,444,4283,1666149.5208333333,11335003.036568994,9668853.51573566,1.1806747978892185,0.23773193692824401,8
