frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
7,4.7,137,-0.5949377275320913,-0.05082896033816501,Random-277,rv2_coarse,random
8,6.55,135,2.085905544471046,0.17952616523329057,Random-277,rv2_coarse,random
9,9.18,131,-1.1035548897682432,-0.09641803839386387,Random-277,rv2_coarse,random
1,0.45,145,0.590498037661267,0.04903819289027173,Random-278,rv2_coarse,random
2,0.7,144,4.6528188540799915,0.387734904506666,Random-278,rv2_coarse,random
3,0.9,144,4.6254424075011755,0.3854535339584313,Random-278,rv2_coarse,random
4,1.31,147,0.95005409806231,0.0783591413229974,Random-278,rv2_coarse,random
5,2.2,151,-3.5147935930377914,-0.286029846097697,Random-278,rv2_coarse,random
6,3.93,151,-4.925553827855456,-0.4008358858164876,Random-278,rv2_coarse,random
7,4.7,150,-1.0825183326133403,-0.08838725173703753,Random-278,rv2_coarse,random
8,6.55,150,0.20083827747803742,0.016398376688023148,Random-278,rv2_coarse,random
9,9.18,147,-2.4581775900500777,-0.20274707047590254,Random-278,rv2_coarse,random
1,0.45,135,1.2142066675047805,0.10450227115777824,Random-279,rv2_coarse,random
2,0.7,137,4.618934372124997,0.394622195131615,Random-279,rv2_coarse,random
3,0.9,136,3.405454743518181,0.2920153351401067,Random-279,rv2_coarse,random
4,1.31,140,5.284472662276376,0.44661945545194104,Random-279,rv2_coarse,random
5,2.2,138,3.5916405519136383,0.30574074759544406,Random-279,rv2_coarse,random
6,3.93,140,0.7395329500579566,0.06250194192534135,Random-279,rv2_coarse,random
7,4.7,139,0.24001769473606624,0.0203580351602438,Random-279,rv2_coarse,random
8,6.55,139,-1.1083134388700484,-0.0940059189465114,Random-279,rv2_coarse,random
9,9.18,134,2.5164731099606636,0.2173901663519547,Random-279,rv2_coarse,random
1,0.45,133,-2.483413073359678,-0.2153392234356712,Random-280,rv2_coarse,random
2,0.7,136,7.262659791822367,0.6227679393344618,Random-280,rv2_coarse,random
3,0.9,134,4.288023916000889,0.37042884691709066,Random-280,rv2_coarse,random
