target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-262,random,rv2_coarse,137627,4954523,494726325.9057228,504695831.58640045,9969505.680677652,0.1779261758562771,0.8587809534745425
Random-263,random,rv2_coarse,689728,4402422,621987923.0915629,486008001.8308733,-135979921.26068956,-4.302707758598102,1.687233338776295e-05
Random-264,random,rv2_coarse,872223,4219927,456410583.5695339,514350840.0078022,57940256.438268304,2.387138186496769,0.016980107477569728
Random-265,random,rv2_coarse,1117652,3974498,459005289.84647065,517199058.96213484,58193769.115664184,2.5303872378986063,0.0113936701523627
Random-266,random,rv2_coarse,14463,5077687,154565855.225029,505422906.0771675,350857050.8521385,4.157559784763373,3.216651112070146e-05
Random-267,random,rv2_coarse,2056,5090094,381899504.8496588,504475874.17293334,122576369.32327455,0.3957264662368993,0.6923068287772431
Random-268,random,rv2_coarse,149914,4942236,449681573.2534625,506086970.003386,56405396.74992353,1.080966872725241,0.279711849773816
Random-269,random,rv2_coarse,973321,4118829,607692527.1048751,480023547.3432204,-127668979.76165468,-4.541478411454772,5.586110702449076e-06
Random-270,random,rv2_coarse,2466,5089684,269867513.884764,504540028.88295895,234672514.99819493,0.9165691632816896,0.35936844942173174
Random-271,random,rv2_coarse,871992,4220158,470381103.82414496,511461003.63269603,41079899.80855107,1.677746049612686,0.0933966855149222
Random-272,random,rv2_coarse,32830,5059320,622561200.1778859,503659804.37144417,-118901395.80644172,-0.9448188727838401,0.34475135500448206
Random-273,random,rv2_coarse,204225,4887925,308059346.7388286,512630898.70786405,204571551.96903545,6.498230918525716,8.127010175940086e-11
Random-274,random,rv2_coarse,1280582,3811568,571364838.5136466,481936903.13826,-89427935.3753866,-3.755614460187722,0.0001729167107265006
Random-275,random,rv2_coarse,204261,4887889,458682321.31604356,506337990.9036475,47655669.58760393,0.9808043178977084,0.3266892485503248
Random-276,random,rv2_coarse,977939,4114211,445616617.45672315,518405336.13744265,72788718.6807195,3.035591993693893,0.00240063977082694
Random-277,random,rv2_coarse,1023941,4068209,468695305.18127835,513419656.21032536,44724351.02904701,1.8668905900410973,0.06191686820936515
Random-278,random,rv2_coarse,1936,5090214,404823537.1216224,504464265.60582846,99640728.48420608,0.30293051421483036,0.7619428163000936
Random-279,random,rv2_coarse,21821,5070329,13043833.94068984,506541129.01824594,493497295.0775561,45.05717099381188,0.0
Random-280,random,rv2_coarse,838,5091312,782234827.574284,504380657.258653,-277854170.315631,-0.3691836322366109,0.7119908550832759
Random-281,random,rv2_coarse,133823,4958327,474549095.8541463,505232757.33929724,30683661.485150933,0.4625862577684882,0.6436609607632882
Random-282,random,rv2_coarse,930567,4161583,479463837.44077075,510008230.2428255,30544392.802054763,1.2651362415581617,0.2058224932512387
Random-283,random,rv2_coarse,103578,4988572,236059032.32526353,509998509.23354167,273939476.9082781,5.3529643215472875,8.652491456651035e-08
Random-284,random,rv2_coarse,867684,4224466,595635113.0050588,485692569.9630896,-109942543.04196918,-3.9395053479311333,8.164978210389862e-05
Random-285,random,rv2_coarse,22997,5069153,157145500.8205157,506001876.560444,348856375.7399283,4.080061819649167,4.5023725322668184e-05
Random-286,random,rv2_coarse,575,5091575,223472943.84316576,504458111.4314656,280985167.5882999,1.8971616189877958,0.0578066106959354
Random-287,random,rv2_coarse,752888,4339262,415837015.62638557,519797169.8029425,103960154.17655694,4.0994699230431575,4.1409747822074294e-05
Random-288,random,rv2_coarse,250452,4841698,891168040.9391673,484420958.8175635,-406747082.1216038,-7.063941589803228,1.6184831252985532e-12
Random-289,random,rv2_coarse,1247741,3844409,603153507.0862598,472383517.3544378,-130769989.73182201,-5.268045967076489,1.378835847720694e-07
Random-290,random,rv2_coarse,988992,4103158,454761344.9147235,516397241.7402576,61635896.825534105,2.5953151141427915,0.009450423170203726
Random-291,random,rv2_coarse,860551,4231599,539444721.6708428,497304945.71338373,-42139775.95745903,-1.5570452688041214,0.11945973797793963
Random-292,random,rv2_coarse,1082472,4009678,583983850.437122,482948665.47987187,-101035184.95725012,-3.9309097928675514,8.462502126405091e-05
Random-293,random,rv2_coarse,5888,5086262,111659523.07463539,504881060.86208516,393221537.7874498,3.653837416474759,0.00025834989430273403
Random-294,random,rv2_coarse,943549,4148601,567759017.2146847,490022143.05990744,-77736874.15477729,-2.778986618523425,0.005452877135470935
Random-295,random,rv2_coarse,4120,5088030,161167436.9296932,504704334.64704883,343536897.7173556,2.238457441391218,0.02519123977081783
Random-296,random,rv2_coarse,294211,4797939,473487606.1335835,506323557.58716536,32835951.45358187,0.797606490756687,0.425098883195131
Random-297,random,rv2_coarse,713278,4378872,405944968.82442486,520468100.0452232,114523131.22079831,4.386114378634664,1.1539345889488573e-05
Random-298,random,rv2_coarse,1059266,4032884,562498130.7721246,489173420.4762422,-73324710.29588246,-2.878080733694026,0.004001027299547433
Random-299,random,rv2_coarse,212373,4879777,493910807.14485526,504884031.751574,10973224.606718719,0.19758559573407708,0.8433693055617291
Random-300,random,rv2_coarse,536497,4555653,414774795.858542,514984212.36223525,100209416.50369322,3.3431478476368026,0.0008283375443158825
Random-301,random,rv2_coarse,254057,4838093,338286783.0383096,513150673.2954514,174863890.25714183,5.403847978352502,6.52262315270491e-08
Random-302,random,rv2_coarse,786093,4306057,407617372.47682834,522099368.9753635,114481996.49853516,4.567592169183725,4.933587594679878e-06
Random-303,random,rv2_coarse,286050,4806100,496844579.8207503,504877637.5016434,8033057.680893123,0.17862908067106323,0.8582289586584482
Random-304,random,rv2_coarse,1288614,3803536,645629488.7710825,456587661.4842386,-189041827.2868439,-7.440097439007401,1.0058620603103918e-13
Random-305,random,rv2_coarse,27935,5064215,12387993.429033218,507140543.4125398,494752549.98350656,46.29033479392151,0.0
Random-306,random,rv2_coarse,1404,5090746,106918814.65950799,504536013.31486434,397617198.65535635,6.406211852570722,1.4917955759585766e-10
Random-307,random,rv2_coarse,1883,5090267,351556845.4014621,504482932.6466536,152926087.2451915,0.4562566004682254,0.6482054684467502
Random-308,random,rv2_coarse,480206,4611944,538976461.560117,500828950.8620306,-38147510.69808638,-1.011688630599345,0.31168695331129115
Random-309,random,rv2_coarse,7539,5084611,21946595.943921816,505141760.1597356,483195164.2158138,31.826356523806485,0.0
Random-310,random,rv2_coarse,2233,5089917,297266540.2163639,504517266.0909934,207250725.8746295,0.7331016860728771,0.46349641185604096
Random-311,random,rv2_coarse,1092625,3999525,510102214.7932676,502875809.80638474,-7226404.986882865,-0.3077531039524628,0.7582702083154997
Random-312,random,rv2_coarse,1192855,3899295,461561766.7125209,517539335.8087836,55977569.09626269,2.494246191223325,0.01262249622973255
Random-313,random,rv2_coarse,24192,5067958,52449728.58450204,506583902.5936004,454134174.00909835,12.47961452361758,0.0
Random-314,random,rv2_coarse,992575,4099575,480886600.62486756,510125754.02063537,29239153.395767808,1.2270186672994068,0.21981557482909886
Random-315,random,rv2_coarse,2948,5089202,227334311.34424558,504586892.8182712,277252581.4740256,1.2940636419612905,0.1956434388396333
Random-316,random,rv2_coarse,237142,4855008,589105412.119097,500290250.81186837,-88815161.30722862,-1.5744171101906173,0.11539105073013434
Random-317,random,rv2_coarse,27167,5064983,9995528.850039657,507078356.8517615,497082828.00172186,46.82326521039108,0.0
Random-318,random,rv2_coarse,292235,4799915,442409818.302204,508202160.330512,65792342.028307974,1.6504657089592065,0.09884772127472474
Random-319,random,rv2_coarse,24927,5067223,11806283.995415676,506849710.46532214,495043426.46990645,46.02219804343719,0.0
Random-320,random,rv2_coarse,1193853,3898297,476898263.4126394,512856866.2635003,35958602.850860894,1.5777307789597719,0.11462747215712832
Random-321,random,rv2_coarse,1203853,3888297,651925473.0514052,458759289.5154409,-193166183.5359643,-7.3986031293912635,1.376676550535194e-13
Random-322,random,rv2_coarse,88129,5004021,814776579.3909073,498960607.9769115,-315815971.4139958,-3.454884527593257,0.0005505285513551783
Random-323,random,rv2_coarse,265981,4826169,686517743.5667434,494390919.5270094,-192126824.03973395,-3.643622074629005,0.0002688280615097405
