Receiver,Date,Channel_Freq,Time_Offset_Min,Actual_Time,Log_Cal_Temp
RAE-B BURST RECEIVER 1,1975/5/3,0.130,33.3971,1975-05-03 02:33:23,8.3947
RAE-B BURST RECEIVER 1,1975/5/3,0.130,33.5212,1975-05-03 02:33:31,8.416
RAE-B BURST RECEIVER 1,1975/5/3,0.130,33.6143,1975-05-03 02:33:36,7.072
RAE-B BURST RECEIVER 1,1975/5/3,0.130,33.7384,1975-05-03 02:33:44,7.7333
RAE-B BURST RECEIVER 1,1975/5/3,0.130,33.878,1975-05-03 02:33:52,7.9893
RAE-B BURST RECEIVER 1,1975/5/3,0.130,34.0021,1975-05-03 02:34:00,7.9893
RAE-B BURST RECEIVER 1,1975/5/3,0.130,34.1262,1975-05-03 02:34:07,6.7947
RAE-B BURST RECEIVER 1,1975/5/3,0.130,34.2658,1975-05-03 02:34:15,8.3307
RAE-B BURST RECEIVER 1,1975/5/3,0.130,34.3899,1975-05-03 02:34:23,7.0933
RAE-B BURST RECEIVER 1,1975/5/3,0.130,34.514,1975-05-03 02:34:30,6.816
RAE-B BURST RECEIVER 1,1975/5/3,0.130,34.7932,1975-05-03 02:34:47,7.1573
RAE-B BURST RECEIVER 1,1975/5/3,0.130,36.2358,1975-05-03 02:36:14,6.24
RAE-B BURST RECEIVER 1,1975/5/3,0.130,36.515,1975-05-03 02:36:30,6.368
RAE-B BURST RECEIVER 1,1975/5/3,0.130,36.6391,1975-05-03 02:36:38,6.56
RAE-B BURST RECEIVER 1,1975/5/3,0.130,36.7632,1975-05-03 02:36:45,6.7733
RAE-B BURST RECEIVER 1,1975/5/3,0.130,36.9028,1975-05-03 02:36:54,6.496
RAE-B BURST RECEIVER 1,1975/5/3,0.130,37.0269,1975-05-03 02:37:01,6.816
RAE-B BURST RECEIVER 1,1975/5/3,0.130,37.1665,1975-05-03 02:37:09,7.2
RAE-B BURST RECEIVER 1,1975/5/3,0.130,37.2906,1975-05-03 02:37:17,7.0933
RAE-B BURST RECEIVER 1,1975/5/3,0.130,37.5233,1975-05-03 02:37:31,7.1147
RAE-B BURST RECEIVER 1,1975/5/3,0.130,37.6474,1975-05-03 02:37:38,7.0933
RAE-B BURST RECEIVER 1,1975/5/3,0.130,37.849,1975-05-03 02:37:50,6.8373
RAE-B BURST RECEIVER 1,1975/5/3,0.130,37.9731,1975-05-03 02:37:58,6.816
RAE-B BURST RECEIVER 1,1975/5/3,0.130,38.1127,1975-05-03 02:38:06,7.0507
RAE-B BURST RECEIVER 1,1975/5/3,0.130,38.2368,1975-05-03 02:38:14,7.072
RAE-B BURST RECEIVER 1,1975/5/3,0.130,38.3609,1975-05-03 02:38:21,7.072
RAE-B BURST RECEIVER 1,1975/5/3,0.130,38.485,1975-05-03 02:38:29,7.2213
RAE-B BURST RECEIVER 1,1975/5/3,0.130,38.6246,1975-05-03 02:38:37,7.136
RAE-B BURST RECEIVER 1,1975/5/3,0.130,38.9038,1975-05-03 02:38:54,7.072
RAE-B BURST RECEIVER 1,1975/5/3,0.130,39.0279,1975-05-03 02:39:01,6.6453
RAE-B BURST RECEIVER 1,1975/5/3,0.130,39.152,1975-05-03 02:39:09,6.6667
RAE-B BURST RECEIVER 1,1975/5/3,0.130,39.2761,1975-05-03 02:39:16,6.6667
RAE-B BURST RECEIVER 1,1975/5/3,0.130,39.5553,1975-05-03 02:39:33,6.4107
RAE-B BURST RECEIVER 1,1975/5/3,0.130,39.5708,1975-05-03 02:39:34,4.0853
RAE-B BURST RECEIVER 1,1975/5/3,0.130,39.6949,1975-05-03 02:39:41,6.6453
RAE-B BURST RECEIVER 1,1975/5/3,0.130,39.819,1975-05-03 02:39:49,6.5387
RAE-B BURST RECEIVER 1,1975/5/3,0.130,39.9431,1975-05-03 02:39:56,6.7733
RAE-B BURST RECEIVER 1,1975/5/3,0.130,40.3464,1975-05-03 02:40:20,7.2
RAE-B BURST RECEIVER 1,1975/5/3,0.130,40.486,1975-05-03 02:40:29,8.2453
RAE-B BURST RECEIVER 1,1975/5/3,0.130,40.6256,1975-05-03 02:40:37,6.5387
RAE-B BURST RECEIVER 1,1975/5/3,0.130,40.7497,1975-05-03 02:40:44,6.6027
RAE-B BURST RECEIVER 1,1975/5/3,0.130,40.8738,1975-05-03 02:40:52,6.624
RAE-B BURST RECEIVER 1,1975/5/3,0.130,41.029,1975-05-03 02:41:01,6.4107
RAE-B BURST RECEIVER 1,1975/5/3,0.130,41.1531,1975-05-03 02:41:09,6.3893
RAE-B BURST RECEIVER 1,1975/5/3,0.130,41.6805,1975-05-03 02:41:40,6.6453
RAE-B BURST RECEIVER 1,1975/5/3,0.130,41.8046,1975-05-03 02:41:48,6.6667
RAE-B BURST RECEIVER 1,1975/5/3,0.130,41.9286,1975-05-03 02:41:55,6.7307
RAE-B BURST RECEIVER 1,1975/5/3,0.130,42.2079,1975-05-03 02:42:12,7.3707
RAE-B BURST RECEIVER 1,1975/5/3,0.130,42.3475,1975-05-03 02:42:20,6.7093
RAE-B BURST RECEIVER 1,1975/5/3,0.130,42.4716,1975-05-03 02:42:28,6.688
RAE-B BURST RECEIVER 1,1975/5/3,0.130,42.5957,1975-05-03 02:42:35,6.624
RAE-B BURST RECEIVER 1,1975/5/3,0.130,42.7198,1975-05-03 02:42:43,6.688
RAE-B BURST RECEIVER 1,1975/5/3,0.130,42.8594,1975-05-03 02:42:51,6.752
RAE-B BURST RECEIVER 1,1975/5/3,0.130,42.9835,1975-05-03 02:42:59,6.7733
RAE-B BURST RECEIVER 1,1975/5/3,0.130,43.1075,1975-05-03 02:43:06,6.7947
RAE-B BURST RECEIVER 1,1975/5/3,0.130,43.2316,1975-05-03 02:43:13,6.7733
RAE-B BURST RECEIVER 1,1975/5/3,0.130,43.666,1975-05-03 02:43:39,7.1147
RAE-B BURST RECEIVER 1,1975/5/3,0.130,43.7901,1975-05-03 02:43:47,6.6453
RAE-B BURST RECEIVER 1,1975/5/3,0.130,43.9142,1975-05-03 02:43:54,6.752
RAE-B BURST RECEIVER 1,1975/5/3,0.130,44.1779,1975-05-03 02:44:10,6.3467
RAE-B BURST RECEIVER 1,1975/5/3,0.130,44.3175,1975-05-03 02:44:19,6.5387
RAE-B BURST RECEIVER 1,1975/5/3,0.130,44.4416,1975-05-03 02:44:26,6.6453
RAE-B BURST RECEIVER 1,1975/5/3,0.130,44.5657,1975-05-03 02:44:33,6.6453
RAE-B BURST RECEIVER 1,1975/5/3,0.130,44.7208,1975-05-03 02:44:43,7.0507
RAE-B BURST RECEIVER 1,1975/5/3,0.130,44.8294,1975-05-03 02:44:49,6.7307
RAE-B BURST RECEIVER 1,1975/5/3,0.130,44.969,1975-05-03 02:44:58,7.072
RAE-B BURST RECEIVER 1,1975/5/3,0.130,45.1086,1975-05-03 02:45:06,7.3707
RAE-B BURST RECEIVER 1,1975/5/3,0.130,45.3878,1975-05-03 02:45:23,7.968
RAE-B BURST RECEIVER 1,1975/5/3,0.130,45.5119,1975-05-03 02:45:30,8.0107
RAE-B BURST RECEIVER 1,1975/5/3,0.130,45.7601,1975-05-03 02:45:45,7.1787
RAE-B BURST RECEIVER 1,1975/5/3,0.130,45.9152,1975-05-03 02:45:54,7.8827
RAE-B BURST RECEIVER 1,1975/5/3,0.130,46.0393,1975-05-03 02:46:02,7.6693
RAE-B BURST RECEIVER 1,1975/5/3,0.130,46.3185,1975-05-03 02:46:19,8.1173
RAE-B BURST RECEIVER 1,1975/5/3,0.130,46.4426,1975-05-03 02:46:26,8.224
RAE-B BURST RECEIVER 1,1975/5/3,0.130,46.5512,1975-05-03 02:46:33,8.48
RAE-B BURST RECEIVER 1,1975/5/3,0.130,46.6908,1975-05-03 02:46:41,7.968
RAE-B BURST RECEIVER 1,1975/5/3,0.130,46.8304,1975-05-03 02:46:49,7.4347
RAE-B BURST RECEIVER 1,1975/5/3,0.130,46.939,1975-05-03 02:46:56,6.5387
RAE-B BURST RECEIVER 1,1975/5/3,0.130,47.0786,1975-05-03 02:47:04,6.3253
RAE-B BURST RECEIVER 1,1975/5/3,0.130,47.2337,1975-05-03 02:47:14,6.496
RAE-B BURST RECEIVER 1,1975/5/3,0.130,47.3423,1975-05-03 02:47:20,7.9467
RAE-B BURST RECEIVER 1,1975/5/3,0.130,47.4974,1975-05-03 02:47:29,6.2187
RAE-B BURST RECEIVER 1,1975/5/3,0.130,47.6215,1975-05-03 02:47:37,6.24
RAE-B BURST RECEIVER 1,1975/5/3,0.130,47.8697,1975-05-03 02:47:52,6.496
RAE-B BURST RECEIVER 1,1975/5/3,0.130,48.0093,1975-05-03 02:48:00,6.24
RAE-B BURST RECEIVER 1,1975/5/3,0.130,48.1334,1975-05-03 02:48:08,6.3893
RAE-B BURST RECEIVER 1,1975/5/3,0.130,48.273,1975-05-03 02:48:16,6.7093
RAE-B BURST RECEIVER 1,1975/5/3,0.130,48.4126,1975-05-03 02:48:24,6.56
RAE-B BURST RECEIVER 1,1975/5/3,0.130,48.5212,1975-05-03 02:48:31,6.3253
RAE-B BURST RECEIVER 1,1975/5/3,0.130,48.8004,1975-05-03 02:48:48,6.496
RAE-B BURST RECEIVER 1,1975/5/3,0.130,49.0641,1975-05-03 02:49:03,6.6667
RAE-B BURST RECEIVER 1,1975/5/3,0.130,49.2037,1975-05-03 02:49:12,7.4347
RAE-B BURST RECEIVER 1,1975/5/3,0.130,49.3278,1975-05-03 02:49:19,7.0507
RAE-B BURST RECEIVER 1,1975/5/3,0.130,49.4519,1975-05-03 02:49:27,6.752
RAE-B BURST RECEIVER 1,1975/5/3,0.130,49.5915,1975-05-03 02:49:35,6.3253
RAE-B BURST RECEIVER 1,1975/5/3,0.130,50.181,1975-05-03 02:50:10,6.048
RAE-B BURST RECEIVER 1,1975/5/3,0.130,50.3051,1975-05-03 02:50:18,6.048
RAE-B BURST RECEIVER 1,1975/5/3,0.130,50.4292,1975-05-03 02:50:25,6.048
RAE-B BURST RECEIVER 1,1975/5/3,0.130,50.6308,1975-05-03 02:50:37,6.752
RAE-B BURST RECEIVER 1,1975/5/3,0.130,50.7704,1975-05-03 02:50:46,6.56
RAE-B BURST RECEIVER 1,1975/5/3,0.130,50.91,1975-05-03 02:50:54,6.3893
RAE-B BURST RECEIVER 1,1975/5/3,0.130,51.0341,1975-05-03 02:51:02,6.7307
RAE-B BURST RECEIVER 1,1975/5/3,0.130,51.1892,1975-05-03 02:51:11,6.3893
RAE-B BURST RECEIVER 1,1975/5/3,0.130,51.3133,1975-05-03 02:51:18,6.2827
RAE-B BURST RECEIVER 1,1975/5/3,0.130,51.4374,1975-05-03 02:51:26,6.368
RAE-B BURST RECEIVER 1,1975/5/3,0.130,51.5615,1975-05-03 02:51:33,6.432
RAE-B BURST RECEIVER 1,1975/5/3,0.130,51.7011,1975-05-03 02:51:42,7.0933
RAE-B BURST RECEIVER 1,1975/5/3,0.130,51.9493,1975-05-03 02:51:56,6.4533
RAE-B BURST RECEIVER 1,1975/5/3,0.130,52.1044,1975-05-03 02:52:06,7.0293
RAE-B BURST RECEIVER 1,1975/5/3,0.130,52.2285,1975-05-03 02:52:13,7.4987
RAE-B BURST RECEIVER 1,1975/5/3,0.130,52.4922,1975-05-03 02:52:29,7.1147
RAE-B BURST RECEIVER 1,1975/5/3,0.130,52.6319,1975-05-03 02:52:37,7.4133
RAE-B BURST RECEIVER 1,1975/5/3,0.130,52.7559,1975-05-03 02:52:45,7.4347
RAE-B BURST RECEIVER 1,1975/5/3,0.130,52.88,1975-05-03 02:52:52,7.1147
RAE-B BURST RECEIVER 1,1975/5/3,0.130,53.1437,1975-05-03 02:53:08,6.176
RAE-B BURST RECEIVER 1,1975/5/3,0.130,53.3919,1975-05-03 02:53:23,6.1973
RAE-B BURST RECEIVER 1,1975/5/3,0.130,53.516,1975-05-03 02:53:30,6.2187
RAE-B BURST RECEIVER 1,1975/5/3,0.130,53.6711,1975-05-03 02:53:40,6.624
RAE-B BURST RECEIVER 1,1975/5/3,0.130,54.0589,1975-05-03 02:54:03,6.7307
RAE-B BURST RECEIVER 1,1975/5/3,0.130,54.1986,1975-05-03 02:54:11,6.5173
RAE-B BURST RECEIVER 1,1975/5/3,0.130,54.3071,1975-05-03 02:54:18,6.2187
RAE-B BURST RECEIVER 1,1975/5/3,0.130,54.4467,1975-05-03 02:54:26,6.432
RAE-B BURST RECEIVER 1,1975/5/3,0.130,54.6019,1975-05-03 02:54:36,6.6027
RAE-B BURST RECEIVER 1,1975/5/3,0.130,54.726,1975-05-03 02:54:43,6.56
RAE-B BURST RECEIVER 1,1975/5/3,0.130,54.8501,1975-05-03 02:54:51,6.496
RAE-B BURST RECEIVER 1,1975/5/3,0.130,56.5719,1975-05-03 02:56:34,6.176
RAE-B BURST RECEIVER 1,1975/5/3,0.130,56.6494,1975-05-03 02:56:38,7.3067
