frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
8,6.55,655,-4.987839444210609,-0.1948910140582323,Random-009,rv2_coarse,random
9,9.18,648,-8.370449696395049,-0.3288223189945454,Random-009,rv2_coarse,random
1,0.45,2436,-8.260189013931127,-0.1673598751502009,Random-010,rv2_coarse,random
2,0.7,2453,-9.307737905017813,-0.18792967878915318,Random-010,rv2_coarse,random
3,0.9,2440,-8.987820469516658,-0.18195310690280353,Random-010,rv2_coarse,random
4,1.31,2463,-18.8880257954092,-0.3805873606915582,Random-010,rv2_coarse,random
5,2.2,2480,4.578071850762093,0.09192989499091374,Random-010,rv2_coarse,random
6,3.93,2477,-1.7492644476146655,-0.03514734029696992,Random-010,rv2_coarse,random
7,4.7,2450,-0.8280404359641969,-0.01672894306762711,Random-010,rv2_coarse,random
8,6.55,2428,-3.4120174941520043,-0.06924475899020029,Random-010,rv2_coarse,random
9,9.18,2433,-7.832253873935693,-0.158787277205366,Random-010,rv2_coarse,random
1,0.45,1977,-6.252937638100688,-0.14063090213496457,Random-011,rv2_coarse,random
2,0.7,2022,18.421785238993298,0.4096765819231762,Random-011,rv2_coarse,random
3,0.9,2001,19.463985095609612,0.43511917166941677,Random-011,rv2_coarse,random
4,1.31,2020,31.1821953531448,0.6937947406112589,Random-011,rv2_coarse,random
5,2.2,2039,9.449864940645519,0.20927482558131524,Random-011,rv2_coarse,random
6,3.93,2021,1.11035589905072,0.024698981648769668,Random-011,rv2_coarse,random
7,4.7,1998,7.281662425544424,0.16290439429761933,Random-011,rv2_coarse,random
8,6.55,1997,3.5088491278709006,0.07851916319959439,Random-011,rv2_coarse,random
9,9.18,1996,2.5136328356424587,0.05626282989920171,Random-011,rv2_coarse,random
1,0.45,2213,12.779676805156898,0.27166216896397466,Random-012,rv2_coarse,random
2,0.7,2255,-12.740038852940707,-0.2682856719291967,Random-012,rv2_coarse,random
3,0.9,2258,-34.45258656007109,-0.7250364887061579,Random-012,rv2_coarse,random
4,1.31,2277,-27.90033983211248,-0.5846931122068828,Random-012,rv2_coarse,random
5,2.2,2276,10.461401478666001,0.21928238218363888,Random-012,rv2_coarse,random
6,3.93,2274,1.9406770449631898,0.04069659167315331,Random-012,rv2_coarse,random
7,4.7,2272,3.712491910548969,0.07788635010399886,Random-012,rv2_coarse,random
8,6.55,2255,-2.0932320954680526,-0.044080256404145875,Random-012,rv2_coarse,random
9,9.18,2245,-0.9489568892402224,-0.02002803355607219,Random-012,rv2_coarse,random
1,0.45,2192,9.290266503451189,0.198430258236326,Random-013,rv2_coarse,random
2,0.7,2251,33.64559987901576,0.7091539534744818,Random-013,rv2_coarse,random
3,0.9,2205,60.715193152392665,1.2929838014836166,Random-013,rv2_coarse,random
4,1.31,2213,60.70327604868699,1.2903912897038825,Random-013,rv2_coarse,random
5,2.2,2252,25.989702870022473,0.5476676914056695,Random-013,rv2_coarse,random
6,3.93,2254,0.6600981996684628,0.013903738544777718,Random-013,rv2_coarse,random
7,4.7,2257,1.93762547969633,0.04078533719885921,Random-013,rv2_coarse,random
8,6.55,2234,-1.3658475133125372,-0.028897523921941427,Random-013,rv2_coarse,random
9,9.18,2219,2.0470662705917295,0.04345635052750224,Random-013,rv2_coarse,random
1,0.45,856,5.833797161143254,0.19939508202369802,Random-014,rv2_coarse,random
2,0.7,860,-4.534519447130663,-0.15462582975809466,Random-014,rv2_coarse,random
3,0.9,861,-1.698427000471594,-0.05788223732971774,Random-014,rv2_coarse,random
4,1.31,865,4.61408444314855,0.15688357764497976,Random-014,rv2_coarse,random
5,2.2,868,3.679836671879165,0.1249017952099438,Random-014,rv2_coarse,random
6,3.93,864,6.097919547865941,0.2074554359002036,Random-014,rv2_coarse,random
7,4.7,854,1.336058090532169,0.045718966660476,Random-014,rv2_coarse,random
8,6.55,846,-2.641360587758429,-0.0908118476414886,Random-014,rv2_coarse,random
9,9.18,838,-3.833570225354483,-0.13242848600433016,Random-014,rv2_coarse,random
1,0.45,1307,0.8737123122735557,0.024167440720642547,Random-015,rv2_coarse,random
2,0.7,1319,-0.901453415684952,-0.024821092375736452,Random-015,rv2_coarse,random
3,0.9,1303,-9.694809088200746,-0.26857590848028245,Random-015,rv2_coarse,random
4,1.31,1322,-16.96229823724829,-0.46651860389825217,Random-015,rv2_coarse,random
5,2.2,1340,-6.049585378232282,-0.16526207872066717,Random-015,rv2_coarse,random
6,3.93,1333,1.4490197424545048,0.03968800127089306,Random-015,rv2_coarse,random
7,4.7,1345,1.2248650946775905,0.033398511866760745,Random-015,rv2_coarse,random
8,6.55,1337,-0.33314563678260084,-0.009111049917343421,Random-015,rv2_coarse,random
9,9.18,1316,-2.431979456735925,-0.06703968383126309,Random-015,rv2_coarse,random
1,0.45,2005,7.308526475130802,0.16321972284020655,Random-016,rv2_coarse,random
2,0.7,2029,-23.83222873070715,-0.5290827897963799,Random-016,rv2_coarse,random
3,0.9,2007,-42.54330504280548,-0.9496368078107428,Random-016,rv2_coarse,random
4,1.31,2025,-43.557382416058054,-0.9679418314679568,Random-016,rv2_coarse,random
5,2.2,2040,-27.71017200542473,-0.6135135202220144,Random-016,rv2_coarse,random
6,3.93,2046,-3.4679626769525047,-0.0766693180150652,Random-016,rv2_coarse,random
7,4.7,2054,-1.4941441651349714,-0.03296797586185551,Random-016,rv2_coarse,random
8,6.55,2033,-0.3860120938787873,-0.008561152281782919,Random-016,rv2_coarse,random
9,9.18,2030,-0.8997440249463139,-0.019969672947962067,Random-016,rv2_coarse,random
1,0.45,2045,-4.742789170494897,-0.10487866808809757,Random-017,rv2_coarse,random
