frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
6,Ingress,1128,-1.39243458201608,-0.04145913634983699,Neptune,rv2_coarse,per_band
7,Egress,911,0.8775253357314382,0.029073711439584028,Neptune,rv2_coarse,per_band
7,Ingress,1110,-0.323847561493975,-0.009720288204565457,Neptune,rv2_coarse,per_band
8,Egress,885,1.9566350154486962,0.06577156653608061,Neptune,rv2_coarse,per_band
8,Ingress,1104,-1.554313095889619,-0.04677932700276369,Neptune,rv2_coarse,per_band
9,Egress,890,1.0079675601964122,0.03378714938227434,Neptune,rv2_coarse,per_band
9,Ingress,1105,-5.259061067946538,-0.15820750254329696,Neptune,rv2_coarse,per_band
all,Egress,1000,-5.196610811964951,-0.16433126279266227,Neptune,rv2_coarse,combined
all,Ingress,1218,-1.707493412001466,-0.04892551350721325,Neptune,rv2_coarse,combined
1,Ingress,645,-12.897895307510455,-0.5078541317821658,Earth,rv2_coarse,per_band
2,Ingress,647,-8.582925579025378,-0.3374296228531321,Earth,rv2_coarse,per_band
3,Ingress,645,-4.927671334381842,-0.19402686931201302,Earth,rv2_coarse,per_band
4,Ingress,649,5.861685272317296,0.23009127361480897,Earth,rv2_coarse,per_band
5,Ingress,657,6.324098140617831,0.24672656711960908,Earth,rv2_coarse,per_band
6,Ingress,659,1.8326883385970592,0.07139140172604247,Earth,rv2_coarse,per_band
7,Ingress,651,4.384802963253305,0.17185397753710133,Earth,rv2_coarse,per_band
8,Ingress,645,-4.869663819030881,-0.19174282562557926,Earth,rv2_coarse,per_band
9,Ingress,639,-8.14865749058461,-0.3223559082909922,Earth,rv2_coarse,per_band
all,Ingress,676,0.11653243598268759,0.004482016768564907,Earth,rv2_coarse,combined
