frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
4,1.31,1,21.93444500683064,21.93444500683064,Random-021,rv2_coarse,random
5,2.2,2,8.59338941729448,6.076443930345642,Random-021,rv2_coarse,random
6,3.93,2,3.693227642882608,2.611506310747901,Random-021,rv2_coarse,random
7,4.7,2,4.357768715233969,3.0814078093845287,Random-021,rv2_coarse,random
8,6.55,2,-2.2213959164408257,-1.5707641162154133,Random-021,rv2_coarse,random
9,9.18,2,-6.698119908686761,-4.736286008633027,Random-021,rv2_coarse,random
1,0.45,4,13.821021595318204,6.910510797659102,Random-022,rv2_coarse,random
2,0.7,3,3.7782643478220845,2.181381938284646,Random-022,rv2_coarse,random
3,0.9,3,6.0004154827459235,3.4643414942129573,Random-022,rv2_coarse,random
4,1.31,3,-12.663857729218712,-7.3114816689435465,Random-022,rv2_coarse,random
5,2.2,4,-6.07644393034564,-3.03822196517282,Random-022,rv2_coarse,random
6,3.93,4,-2.153195074130667,-1.0765975370653336,Random-022,rv2_coarse,random
7,4.7,4,-3.0814078093845287,-1.5407039046922644,Random-022,rv2_coarse,random
8,6.55,4,1.670028776804468,0.835014388402234,Random-022,rv2_coarse,random
9,9.18,4,5.715857612133907,2.8579288060669534,Random-022,rv2_coarse,random
1,0.45,4,13.821021595318204,6.910510797659102,Random-023,rv2_coarse,random
2,0.7,3,4.420694379438224,2.552289089973724,Random-023,rv2_coarse,random
3,0.9,3,6.0004154827459235,3.4643414942129573,Random-023,rv2_coarse,random
4,1.31,3,-12.663857729218712,-7.3114816689435465,Random-023,rv2_coarse,random
5,2.2,4,-6.07644393034564,-3.03822196517282,Random-023,rv2_coarse,random
6,3.93,4,-2.2503658277067062,-1.1251829138533531,Random-023,rv2_coarse,random
7,4.7,4,-3.0814078093845287,-1.5407039046922644,Random-023,rv2_coarse,random
8,6.55,4,1.670028776804468,0.835014388402234,Random-023,rv2_coarse,random
9,9.18,4,5.354655100240101,2.6773275501200504,Random-023,rv2_coarse,random
1,0.45,4,13.821021595318204,6.910510797659102,Random-024,rv2_coarse,random
2,0.7,3,4.420694379438224,2.552289089973724,Random-024,rv2_coarse,random
3,0.9,3,6.0004154827459235,3.4643414942129573,Random-024,rv2_coarse,random
4,1.31,3,-12.663857729218712,-7.3114816689435465,Random-024,rv2_coarse,random
5,2.2,4,-6.07644393034564,-3.03822196517282,Random-024,rv2_coarse,random
6,3.93,4,-2.2503658277067062,-1.1251829138533531,Random-024,rv2_coarse,random
7,4.7,4,-3.0814078093845287,-1.5407039046922644,Random-024,rv2_coarse,random
8,6.55,4,1.670028776804468,0.835014388402234,Random-024,rv2_coarse,random
9,9.18,4,5.354655100240101,2.6773275501200504,Random-024,rv2_coarse,random
1,0.45,2,19.545876185950434,13.821021595318204,Random-025,rv2_coarse,random
2,0.7,1,8.795638253351653,8.795638253351653,Random-025,rv2_coarse,random
3,0.9,1,10.393024482638872,10.393024482638872,Random-025,rv2_coarse,random
4,1.31,1,-21.93444500683064,-21.93444500683064,Random-025,rv2_coarse,random
5,2.2,2,-8.59338941729448,-6.076443930345642,Random-025,rv2_coarse,random
6,3.93,2,-3.693227642882608,-2.611506310747901,Random-025,rv2_coarse,random
7,4.7,2,-4.357768715233969,-3.0814078093845287,Random-025,rv2_coarse,random
8,6.55,2,2.2213959164408257,1.5707641162154133,Random-025,rv2_coarse,random
9,9.18,2,6.698119908686761,4.736286008633027,Random-025,rv2_coarse,random
1,0.45,4,13.821021595318204,6.910510797659102,Random-026,rv2_coarse,random
2,0.7,3,3.7782643478220845,2.181381938284646,Random-026,rv2_coarse,random
3,0.9,3,6.0004154827459235,3.4643414942129573,Random-026,rv2_coarse,random
4,1.31,3,-12.663857729218712,-7.3114816689435465,Random-026,rv2_coarse,random
5,2.2,4,-6.07644393034564,-3.03822196517282,Random-026,rv2_coarse,random
6,3.93,4,-2.153195074130667,-1.0765975370653336,Random-026,rv2_coarse,random
7,4.7,4,-3.0814078093845287,-1.5407039046922644,Random-026,rv2_coarse,random
8,6.55,4,1.670028776804468,0.835014388402234,Random-026,rv2_coarse,random
9,9.18,4,5.715857612133907,2.8579288060669534,Random-026,rv2_coarse,random
1,0.45,4,13.821021595318204,6.910510797659102,Random-027,rv2_coarse,random
2,0.7,3,4.420694379438224,2.552289089973724,Random-027,rv2_coarse,random
3,0.9,3,6.0004154827459235,3.4643414942129573,Random-027,rv2_coarse,random
4,1.31,3,-12.663857729218712,-7.3114816689435465,Random-027,rv2_coarse,random
5,2.2,4,-6.07644393034564,-3.03822196517282,Random-027,rv2_coarse,random
6,3.93,4,-2.2503658277067062,-1.1251829138533531,Random-027,rv2_coarse,random
7,4.7,4,-3.0814078093845287,-1.5407039046922644,Random-027,rv2_coarse,random
8,6.55,4,1.670028776804468,0.835014388402234,Random-027,rv2_coarse,random
9,9.18,4,5.354655100240101,2.6773275501200504,Random-027,rv2_coarse,random
1,0.45,3,-5.284681782086471,-3.051112449469135,Random-028,rv2_coarse,random
2,0.7,2,0.0,0.0,Random-028,rv2_coarse,random
3,0.9,2,0.0,0.0,Random-028,rv2_coarse,random
4,1.31,2,0.0,0.0,Random-028,rv2_coarse,random
5,2.2,3,7.254331087152114,4.188290005957943,Random-028,rv2_coarse,random
6,3.93,3,4.242277455781307,2.4492800310724188,Random-028,rv2_coarse,random
7,4.7,3,3.807262767192889,2.198124183514454,Random-028,rv2_coarse,random
8,6.55,3,-0.5584341676583489,-0.32241211702223227,Random-028,rv2_coarse,random
9,9.18,3,-3.748442499196273,-2.164164285952802,Random-028,rv2_coarse,random
1,0.45,3,10.403381228231668,6.006394952601853,Random-029,rv2_coarse,random
2,0.7,2,7.9907143957832,5.650288335783267,Random-029,rv2_coarse,random
3,0.9,2,12.288625771871944,8.689370614754424,Random-029,rv2_coarse,random
4,1.31,2,-12.797396487490815,-9.04912583783766,Random-029,rv2_coarse,random
5,2.2,3,5.431026380162304,3.1356045425626653,Random-029,rv2_coarse,random
6,3.93,3,-0.7037563770232016,-0.40631393371826113,Random-029,rv2_coarse,random
7,4.7,3,-1.1646218421427015,-0.6723947340652066,Random-029,rv2_coarse,random
8,6.55,3,-2.2885416879996567,-1.3212901596182822,Random-029,rv2_coarse,random
9,9.18,3,3.220995295277045,1.8596425007867199,Random-029,rv2_coarse,random
1,0.45,41,-3.896269448893885,-0.608495057165404,Random-030,rv2_coarse,random
2,0.7,40,0.7882175194868453,0.12462813266132926,Random-030,rv2_coarse,random
3,0.9,39,5.239166551790605,0.838938067415594,Random-030,rv2_coarse,random
4,1.31,40,-1.6039837686339848,-0.2536121019411969,Random-030,rv2_coarse,random
5,2.2,37,-11.354118677521363,-1.8666056123293546,Random-030,rv2_coarse,random
6,3.93,38,-11.583419086439354,-1.879078705755391,Random-030,rv2_coarse,random
7,4.7,40,2.7247406378495156,0.43081932244122323,Random-030,rv2_coarse,random
8,6.55,40,0.8061099266326762,0.12745717063152417,Random-030,rv2_coarse,random
9,9.18,39,2.853816193521063,0.4569763183675891,Random-030,rv2_coarse,random
1,0.45,2,19.545876185950434,13.821021595318204,Random-031,rv2_coarse,random
2,0.7,1,8.795638253351653,8.795638253351653,Random-031,rv2_coarse,random
3,0.9,1,10.393024482638872,10.393024482638872,Random-031,rv2_coarse,random
4,1.31,1,-21.93444500683064,-21.93444500683064,Random-031,rv2_coarse,random
5,2.2,2,-8.59338941729448,-6.076443930345642,Random-031,rv2_coarse,random
6,3.93,2,-3.693227642882608,-2.611506310747901,Random-031,rv2_coarse,random
7,4.7,2,-4.357768715233969,-3.0814078093845287,Random-031,rv2_coarse,random
8,6.55,2,2.2213959164408257,1.5707641162154133,Random-031,rv2_coarse,random
9,9.18,2,6.698119908686761,4.736286008633027,Random-031,rv2_coarse,random
1,0.45,3,10.403381228231668,6.006394952601853,Random-032,rv2_coarse,random
2,0.7,2,7.9907143957832,5.650288335783267,Random-032,rv2_coarse,random
3,0.9,2,12.288625771871944,8.689370614754424,Random-032,rv2_coarse,random
4,1.31,2,-12.797396487490815,-9.04912583783766,Random-032,rv2_coarse,random
5,2.2,3,5.431026380162304,3.1356045425626653,Random-032,rv2_coarse,random
6,3.93,3,-0.7037563770232016,-0.40631393371826113,Random-032,rv2_coarse,random
7,4.7,3,-1.1646218421427015,-0.6723947340652066,Random-032,rv2_coarse,random
8,6.55,3,-2.2885416879996567,-1.3212901596182822,Random-032,rv2_coarse,random
9,9.18,3,3.220995295277045,1.8596425007867199,Random-032,rv2_coarse,random
1,0.45,41,22.484876626571985,3.5115477683729375,Random-033,rv2_coarse,random
2,0.7,37,-4.4517278421032485,-0.7318595490008375,Random-033,rv2_coarse,random
3,0.9,37,-6.864230797459141,-1.128472591732528,Random-033,rv2_coarse,random
4,1.31,35,-12.284469652902315,-2.076454358846747,Random-033,rv2_coarse,random
5,2.2,39,-5.76951626176354,-0.9238619873446234,Random-033,rv2_coarse,random
6,3.93,39,-13.11847935925841,-2.100637880528192,Random-033,rv2_coarse,random
7,4.7,41,-0.813018694505094,-0.1269721880066239,Random-033,rv2_coarse,random
8,6.55,39,-3.7122369372293496,-0.5944336472455869,Random-033,rv2_coarse,random
