target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-125,random,rv2_coarse,1117454,3974696,447916157.60367405,520313780.896833,72397623.29315895,3.1892036399526384,0.0014266533849935925
Random-126,random,rv2_coarse,263548,4828602,580872988.27335,500253881.2146682,-80619107.05868179,-1.5531022050725847,0.12039871940491254
Random-127,random,rv2_coarse,1116514,3975636,606177075.0278792,475850811.0165762,-130326264.01130307,-5.0745056953964705,3.8850459604944376e-07
Random-128,random,rv2_coarse,508,5091642,248743239.0809701,504451892.7467645,255708653.66579437,1.5267927673023016,0.12681255067393105
Random-129,random,rv2_coarse,2729,5089421,244697448.07182977,504565652.22617394,259868204.15434417,1.1230089642960233,0.2614336872714009
Random-130,random,rv2_coarse,896032,4196118,541885169.7055362,496427496.3842255,-45457673.32131076,-1.5642786991993252,0.11775213221022307
Random-131,random,rv2_coarse,741,5091409,175045614.29562035,504474320.73404074,329428706.4384204,2.8607407614775267,0.004226524985139424
Random-132,random,rv2_coarse,760994,4331156,444386047.3898958,514975606.9527276,70589559.56283182,2.54650638642396,0.010880722055321534
Random-133,random,rv2_coarse,729842,4362308,547624703.1679654,497199027.9101935,-50425675.25777191,-1.6862273248619564,0.09175202277310501
Random-134,random,rv2_coarse,1245040,3847110,520975545.6111634,499070578.2643729,-21904967.346790493,-0.9605198397683882,0.33679365074520495
Random-135,random,rv2_coarse,948028,4144122,453164197.2922691,516153351.1860364,62989153.8937673,2.5631453655294827,0.01037286087809064
Random-136,random,rv2_coarse,763620,4328530,449614217.1242998,514096101.2569894,64481884.132689595,2.27516556522454,0.02289599970747558
Random-137,random,rv2_coarse,524245,4567905,502337979.7377203,504666062.7720528,2328083.034332514,0.06533810277062953,0.947904805519977
Random-138,random,rv2_coarse,489,5091661,13467090.60851227,504473534.32348824,491006443.71497595,41.84451128385399,0.0
Random-139,random,rv2_coarse,788780,4303370,522268909.6561716,501155962.6747825,-21112946.981389105,-0.7059323652550692,0.480230199099541
Random-140,random,rv2_coarse,931,5091219,705356851.0716132,504389639.97149354,-200967211.10011965,-0.29663332722963454,0.7667464640008785
Random-141,random,rv2_coarse,542505,4549645,361581407.51113933,521459385.1108259,159877977.59968656,5.718462838078924,1.0749201972970468e-08
Random-142,random,rv2_coarse,21224,5070926,32687949.011364825,506400810.54713833,473712861.5357735,15.09673201962487,0.0
Random-143,random,rv2_coarse,168866,4923284,450535509.5886497,506274810.9376135,55739301.3489638,0.9876193205690389,0.323339120425584
Random-144,random,rv2_coarse,248745,4843405,442723213.6493323,507595301.21374756,64872087.564415276,1.5697123452518478,0.11648204784485405
Random-145,random,rv2_coarse,1291269,3800881,644050954.9342686,456991885.0727914,-187059069.8614772,-7.367519242500466,1.7386092565629951e-13
Random-146,random,rv2_coarse,736599,4355551,447267811.6696555,514092885.80166274,66825074.13200724,2.3537814162205475,0.01858353525041423
Random-147,random,rv2_coarse,22917,5069233,57746326.17111802,506445735.1038138,448699408.9326958,11.70336633961743,0.0
Random-148,random,rv2_coarse,1276236,3815914,606083609.5970412,470427028.5118284,-135656581.08521283,-5.504135649490787,3.709838303223023e-08
Random-149,random,rv2_coarse,10203,5081947,66340029.35600551,505305926.711722,438965897.3557165,7.00663236886275,2.441158386545794e-12
Random-150,random,rv2_coarse,669005,4423145,426707032.22545785,516181510.56779337,89474478.34233552,3.330742475842122,0.0008661469158444124
Random-151,random,rv2_coarse,34151,5057999,274647446.31849164,505977822.5964758,231330376.27798414,2.41496865955159,0.015736563662746672
Random-152,random,rv2_coarse,1186001,3906149,481656940.213584,511339734.58363307,29682794.37004906,1.2874638466042008,0.19793266302496293
Random-153,random,rv2_coarse,474887,4617263,434791772.11476123,511588325.2416231,76796553.12686187,2.4032110332188568,0.01625180568241813
Random-154,random,rv2_coarse,1869,5090281,77038581.73850906,504583307.0011469,427544725.26263785,9.129474164488336,0.0
Random-155,random,rv2_coarse,1121835,3970315,447477215.614111,520517692.79664665,73040477.18253565,3.224275274875427,0.0012629193573370223
Random-156,random,rv2_coarse,1146647,3945503,575232555.1024314,483848604.86580205,-91383950.23662937,-3.6628118160735426,0.00024946180572582577
Random-157,random,rv2_coarse,1204973,3887177,587181751.5067838,478773322.9014244,-108408428.60535944,-4.384002468570464,1.1651845154281304e-05
Random-158,random,rv2_coarse,785493,4306657,415616828.62863356,520624395.22914934,105007566.60051578,4.100973248681615,4.1141612465711574e-05
Random-159,random,rv2_coarse,526,5091624,243986389.15638366,504453288.1480797,260466898.99169603,1.6096470334411623,0.10747493415751896
Random-160,random,rv2_coarse,619,5091531,207548539.7559572,504462475.6499107,296913935.8939535,2.1570292500035433,0.031003385454064336
Random-161,random,rv2_coarse,723708,4368442,449744180.8560843,513485435.772154,63741254.91606969,2.229194001486923,0.025800999489043797
Random-162,random,rv2_coarse,839749,4252401,426986993.70011026,519718837.58885884,92731843.88874859,3.7225873667228386,0.00019719164280918022
Random-163,random,rv2_coarse,895693,4196457,435065195.44590586,519230854.87349087,84165659.427585,3.5284099617735136,0.0004180641423632281
